"","motorists","cyclists","windowsize","showgame","count"
"1",33,16,100,"F",9
"2",42,45,120,"F",44
"3",41,53,140,"F",38
"4",63,81,160,"F",82
"5",81,87,180,"F",74
"6",93,89,200,"F",64
"7",118,101,220,"F",80
"8",155,158,240,"F",147
"9",189,173,260,"F",150
"10",218,205,280,"F",187
"11",21,22,100,"F",8
"12",40,27,120,"F",23
"13",40,48,140,"F",31
"14",61,58,160,"F",31
"15",88,81,180,"F",53
"16",106,93,200,"F",79
"17",119,103,220,"F",85
"18",129,135,240,"F",99
"19",168,161,260,"F",125
"20",194,182,280,"F",134
"21",31,24,100,"F",22
"22",28,32,120,"F",15
"23",55,46,140,"F",48
"24",67,69,160,"F",60
"25",81,92,180,"F",74
"26",87,106,200,"F",71
"27",121,130,220,"F",114
"28",148,153,240,"F",128
"29",144,173,260,"F",124
"30",198,198,280,"F",169
"31",35,28,100,"F",20
"32",41,40,120,"F",28
"33",46,38,140,"F",31
"34",62,77,160,"F",57
"35",80,66,180,"F",60
"36",94,107,200,"F",70
"37",144,125,220,"F",134
"38",135,164,240,"F",138
"39",178,160,260,"F",137
"40",200,202,280,"F",190
"41",30,31,100,"F",28
"42",43,43,120,"F",42
"43",55,58,140,"F",46
"44",66,60,160,"F",38
"45",78,71,180,"F",60
"46",92,92,200,"F",68
"47",119,122,220,"F",86
"48",145,150,240,"F",119
"49",158,157,260,"F",107
"50",194,200,280,"F",132
"51",32,19,100,"F",17
"52",41,31,120,"F",25
"53",49,59,140,"F",48
"54",55,60,160,"F",41
"55",86,78,180,"F",62
"56",91,95,200,"F",61
"57",126,107,220,"F",82
"58",169,152,240,"F",154
"59",173,168,260,"F",131
"60",179,205,280,"F",136
"61",14,31,100,"F",14
"62",32,41,120,"F",36
"63",55,64,140,"F",50
"64",59,48,160,"F",38
"65",97,96,180,"F",94
"66",104,101,200,"F",84
"67",132,126,220,"F",123
"68",141,165,240,"F",131
"69",158,208,260,"F",165
"70",191,169,280,"F",106
"71",31,23,100,"F",32
"72",38,31,120,"F",33
"73",56,42,140,"F",37
"74",72,79,160,"F",85
"75",85,80,180,"F",69
"76",98,94,200,"F",72
"77",136,119,220,"F",121
"78",151,145,240,"F",132
"79",188,147,260,"F",144
"80",208,186,280,"F",174
"81",32,34,100,"F",30
"82",33,48,120,"F",32
"83",48,62,140,"F",47
"84",58,51,160,"F",32
"85",89,69,180,"F",59
"86",95,98,200,"F",70
"87",123,135,220,"F",123
"88",134,137,240,"F",109
"89",185,142,260,"F",131
"90",197,194,280,"F",153
"91",36,28,100,"F",38
"92",37,35,120,"F",26
"93",49,43,140,"F",34
"94",65,66,160,"F",67
"95",79,84,180,"F",71
"96",102,69,200,"F",52
"97",108,113,220,"F",67
"98",130,132,240,"F",85
"99",136,158,260,"F",86
"100",186,192,280,"F",155
"101",27,25,100,"F",25
"102",33,25,120,"F",15
"103",51,54,140,"F",42
"104",55,73,160,"F",61
"105",78,91,180,"F",64
"106",102,103,200,"F",102
"107",119,99,220,"F",70
"108",141,139,240,"F",112
"109",162,166,260,"F",130
"110",205,202,280,"F",170
"111",27,24,100,"F",18
"112",34,50,120,"F",40
"113",39,38,140,"F",17
"114",62,54,160,"F",47
"115",90,67,180,"F",52
"116",98,86,200,"F",50
"117",138,124,220,"F",121
"118",149,160,240,"F",119
"119",172,171,260,"F",126
"120",209,189,280,"F",156
"121",30,30,100,"F",23
"122",23,29,120,"F",9
"123",33,44,140,"F",25
"124",66,55,160,"F",41
"125",67,96,180,"F",51
"126",108,100,200,"F",81
"127",115,123,220,"F",91
"128",154,129,240,"F",101
"129",180,140,260,"F",132
"130",177,184,280,"F",116
"131",33,23,100,"F",33
"132",49,31,120,"F",31
"133",55,61,140,"F",56
"134",58,71,160,"F",55
"135",83,71,180,"F",56
"136",91,95,200,"F",77
"137",121,126,220,"F",93
"138",123,157,240,"F",115
"139",170,202,260,"F",163
"140",205,216,280,"F",163
"141",28,26,100,"F",16
"142",42,41,120,"F",48
"143",51,44,140,"F",29
"144",66,68,160,"F",68
"145",81,73,180,"F",62
"146",105,98,200,"F",102
"147",121,140,220,"F",117
"148",138,136,240,"F",108
"149",162,181,260,"F",139
"150",192,201,280,"F",167
"151",25,32,100,"F",16
"152",28,32,120,"F",16
"153",42,45,140,"F",32
"154",72,70,160,"F",68
"155",88,81,180,"F",73
"156",121,101,200,"F",97
"157",108,114,220,"F",86
"158",133,139,240,"F",103
"159",158,172,260,"F",131
"160",192,176,280,"F",136
"161",28,26,100,"F",20
"162",39,38,120,"F",23
"163",45,51,140,"F",43
"164",84,78,160,"F",78
"165",82,58,180,"F",38
"166",115,99,200,"F",96
"167",108,112,220,"F",83
"168",163,150,240,"F",139
"169",177,177,260,"F",155
"170",196,175,280,"F",132
"171",23,18,100,"F",13
"172",39,35,120,"F",32
"173",47,45,140,"F",31
"174",67,68,160,"F",62
"175",77,103,180,"F",95
"176",115,88,200,"F",84
"177",126,135,220,"F",113
"178",122,133,240,"F",110
"179",195,176,260,"F",171
"180",176,206,280,"F",140
"181",30,26,100,"F",28
"182",23,40,120,"F",20
"183",57,51,140,"F",42
"184",60,56,160,"F",47
"185",81,86,180,"F",72
"186",103,75,200,"F",74
"187",122,137,220,"F",118
"188",162,144,240,"F",113
"189",163,164,260,"F",129
"190",208,205,280,"F",170
"191",22,23,100,"F",15
"192",32,40,120,"F",31
"193",41,53,140,"F",41
"194",57,66,160,"F",43
"195",69,73,180,"F",52
"196",109,100,200,"F",96
"197",105,119,220,"F",82
"198",138,153,240,"F",117
"199",152,177,260,"F",128
"200",181,201,280,"F",142
"201",22,26,100,"F",14
"202",32,40,120,"F",28
"203",54,37,140,"F",39
"204",75,52,160,"F",53
"205",94,88,180,"F",74
"206",91,85,200,"F",55
"207",106,125,220,"F",95
"208",146,152,240,"F",134
"209",165,173,260,"F",136
"210",182,203,280,"F",169
"211",32,26,100,"F",27
"212",31,39,120,"F",31
"213",48,35,140,"F",22
"214",55,65,160,"F",51
"215",72,86,180,"F",71
"216",100,87,200,"F",75
"217",131,108,220,"F",99
"218",155,143,240,"F",140
"219",157,157,260,"F",124
"220",214,200,280,"F",163
"221",19,26,100,"F",14
"222",31,36,120,"F",25
"223",57,46,140,"F",45
"224",77,76,160,"F",65
"225",77,80,180,"F",66
"226",89,110,200,"F",73
"227",128,129,220,"F",103
"228",140,125,240,"F",88
"229",145,177,260,"F",122
"230",194,190,280,"F",145
"231",32,29,100,"F",30
"232",33,38,120,"F",25
"233",59,48,140,"F",57
"234",73,62,160,"F",56
"235",74,96,180,"F",77
"236",85,101,200,"F",77
"237",119,127,220,"F",96
"238",130,140,240,"F",102
"239",166,170,260,"F",119
"240",211,186,280,"F",168
"241",20,25,100,"F",11
"242",49,47,120,"F",59
"243",51,49,140,"F",52
"244",63,68,160,"F",66
"245",74,82,180,"F",65
"246",97,90,200,"F",72
"247",122,123,220,"F",96
"248",144,146,240,"F",133
"249",153,155,260,"F",107
"250",189,202,280,"F",158
"251",18,21,100,"F",13
"252",40,30,120,"F",25
"253",53,53,140,"F",54
"254",67,66,160,"F",70
"255",102,87,180,"F",89
