"","motorists","cyclists","windowsize","showgame","count","pred"
"1",29,31,100,"F",28,22.7789805777359
"2",43,40,120,"F",31,32.2535352399498
"3",49,52,140,"F",40,39.1425620589549
"4",57,70,160,"F",50,48.8362884831114
"5",69,68,180,"F",47,54.0552255426078
"6",82,102,200,"F",65,71.6416435128243
"7",119,121,220,"F",116,96.5064594804799
"8",145,143,240,"F",116,116.900929999509
"9",163,164,260,"F",125,133.168888324995
"10",220,180,280,"F",175,165.996151781177
"11",26,23,100,"F",24,18.7121253571644
"12",34,33,120,"F",27,25.7516835422635
"13",45,61,140,"F",46,39.9053686652388
"14",61,69,160,"F",48,50.5373778306043
"15",96,91,180,"F",86,74.8702254782215
"16",85,98,200,"F",67,71.920938497555
"17",115,116,220,"F",87,92.8130940596793
"18",142,144,240,"F",118,115.802596798705
"19",167,160,260,"F",114,133.654103510447
"20",187,168,280,"F",146,146.11419063372
"21",22,31,100,"F",31,19.3092745032605
"22",28,46,120,"F",19,26.5360566146277
"23",41,45,140,"F",28,33.0150778859878
"24",70,71,160,"F",47,55.5681544237489
"25",74,81,180,"F",59,60.8756632306619
"26",89,89,200,"F",60,70.8586692585305
"27",122,120,220,"F",103,97.5974916422753
"28",138,126,240,"F",99,107.343879022916
"29",181,170,260,"F",159,144.039546925439
"30",190,189,280,"F",154,155.35866215096
"31",25,22,100,"F",15,17.9241742968217
"32",39,37,120,"F",32,29.3976888010413
"33",57,58,140,"F",56,44.9578788939317
"34",49,78,160,"F",45,46.7879213999345
"35",92,78,180,"F",75,68.2015534252764
"36",91,110,200,"F",71,78.8224316472207
"37",114,126,220,"F",82,95.7508691654812
"38",147,149,240,"F",112,120.013846241841
"39",161,162,260,"F",105,131.477249659553
"40",222,223,280,"F",188,183.394212879533
"41",29,28,100,"F",29,21.781289186892
"42",43,44,120,"F",49,33.63497640698
"43",58,47,140,"F",49,41.4129843118652
"44",58,64,160,"F",43,47.4390485696803
"45",58,77,180,"F",54,51.4605808884844
"46",99,110,200,"F",94,82.8972196115811
"47",140,133,220,"F",145,110.878571318831
"48",151,129,240,"F",145,114.462180505512
"49",171,161,260,"F",147,135.932141718962
"50",186,192,280,"F",170,154.46045058738
"51",27,24,100,"F",20,19.5011802402355
"52",31,43,120,"F",25,27.3773011350291
"53",54,54,140,"F",45,42.179727509756
"54",49,74,160,"F",41,45.7165573259725
"55",70,77,180,"F",46,57.5876144834065
"56",112,104,200,"F",87,87.0711124917967
"57",112,124,220,"F",99,94.0777348393096
"58",138,142,240,"F",114,113.14162159673
"59",168,159,260,"F",127,133.762744834235
"60",205,193,280,"F",174,164.088530464571
"61",15,22,100,"F",8,13.2047721997226
"62",46,46,120,"F",47,35.7113736515545
"63",47,54,140,"F",40,38.8181842499322
"64",74,58,160,"F",53,52.5551200239106
"65",88,81,180,"F",84,67.5240148473982
"66",109,100,200,"F",82,84.2025807419823
"67",133,108,220,"F",95,98.1141278227871
"68",159,146,240,"F",131,124.661028930221
