"","motorists","cyclists","windowsize","showgame","count"
"1",18,33,100,"F",7
"2",39,43,120,"F",5
"3",51,46,140,"F",5
"4",66,46,160,"F",7
"5",80,99,180,"F",10
"6",128,92,200,"F",12
"7",131,106,220,"F",12
"8",157,139,240,"F",8
"9",172,166,260,"F",12
"10",193,203,280,"F",15
"11",24,27,100,"F",2
"12",38,39,120,"F",11
"13",61,46,140,"F",8
"14",57,56,160,"F",12
"15",75,88,180,"F",12
"16",82,94,200,"F",14
"17",102,129,220,"F",10
"18",132,142,240,"F",14
"19",192,168,260,"F",14
"20",189,198,280,"F",19
"21",25,24,100,"F",3
"22",33,38,120,"F",6
"23",52,43,140,"F",13
"24",71,65,160,"F",11
"25",78,99,180,"F",21
"26",82,114,200,"F",13
"27",107,127,220,"F",9
"28",147,136,240,"F",11
"29",146,154,260,"F",13
"30",195,203,280,"F",12
"31",12,22,100,"F",5
"32",41,22,120,"F",4
"33",48,51,140,"F",9
"34",81,59,160,"F",5
"35",86,86,180,"F",15
"36",93,101,200,"F",8
"37",134,134,220,"F",7
"38",136,140,240,"F",14
"39",174,168,260,"F",9
"40",194,212,280,"F",19
"41",17,30,100,"F",6
"42",37,42,120,"F",4
"43",66,31,140,"F",9
"44",54,67,160,"F",6
"45",97,84,180,"F",10
"46",105,97,200,"F",9
"47",130,111,220,"F",7
"48",152,128,240,"F",7
"49",197,156,260,"F",17
"50",192,230,280,"F",12
"51",33,27,100,"F",4
"52",39,46,120,"F",8
"53",51,58,140,"F",8
"54",86,75,160,"F",13
"55",82,89,180,"F",16
"56",103,98,200,"F",8
"57",112,122,220,"F",19
"58",131,138,240,"F",12
"59",171,169,260,"F",18
"60",225,191,280,"F",23
"61",14,21,100,"F",2
"62",26,36,120,"F",6
"63",49,54,140,"F",7
"64",65,58,160,"F",8
"65",84,89,180,"F",16
"66",112,86,200,"F",6
"67",132,134,220,"F",16
"68",140,155,240,"F",10
"69",191,164,260,"F",20
"70",191,192,280,"F",13
"71",24,33,100,"F",10
"72",29,39,120,"F",7
"73",51,55,140,"F",9
"74",56,65,160,"F",11
"75",95,61,180,"F",12
"76",100,112,200,"F",8
"77",119,123,220,"F",11
"78",141,152,240,"F",15
"79",166,156,260,"F",7
"80",175,195,280,"F",10
"81",27,28,100,"F",4
"82",38,34,120,"F",3
"83",47,49,140,"F",9
"84",62,61,160,"F",7
"85",83,100,180,"F",18
"86",99,111,200,"F",19
"87",116,127,220,"F",10
"88",145,131,240,"F",12
"89",153,203,260,"F",13
"90",202,183,280,"F",19
"91",29,16,100,"F",2
"92",43,24,120,"F",4
"93",48,47,140,"F",8
"94",57,79,160,"F",12
"95",81,70,180,"F",8
"96",114,91,200,"F",7
"97",133,117,220,"F",6
"98",169,131,240,"F",7
"99",167,168,260,"F",12
"100",212,199,280,"F",16
"101",17,34,100,"F",9
"102",37,29,120,"F",6
"103",44,57,140,"F",6
"104",51,61,160,"F",7
"105",67,69,180,"F",10
"106",93,116,200,"F",17
"107",126,135,220,"F",17
"108",162,121,240,"F",13
"109",148,162,260,"F",11
"110",195,200,280,"F",19
"111",26,28,100,"F",6
"112",40,44,120,"F",5
"113",45,44,140,"F",6
"114",63,63,160,"F",10
"115",83,98,180,"F",19
"116",109,99,200,"F",8
"117",137,122,220,"F",16
"118",136,146,240,"F",7
"119",175,182,260,"F",18
"120",198,181,280,"F",19
"121",16,16,100,"F",2
"122",35,40,120,"F",8
"123",50,56,140,"F",9
"124",64,61,160,"F",10
"125",82,76,180,"F",8
"126",90,113,200,"F",10
"127",125,112,220,"F",15
"128",130,113,240,"F",8
"129",168,171,260,"F",15
"130",187,190,280,"F",20
"131",25,25,100,"F",4
"132",26,43,120,"F",3
"133",55,49,140,"F",8
"134",58,67,160,"F",17
"135",82,74,180,"F",13
"136",95,117,200,"F",16
"137",126,138,220,"F",10
"138",129,161,240,"F",11
"139",187,156,260,"F",17
"140",181,188,280,"F",10
"141",30,23,100,"F",4
"142",27,43,120,"F",2
"143",37,57,140,"F",9
"144",72,62,160,"F",10
"145",58,67,180,"F",7
"146",108,108,200,"F",8
"147",128,131,220,"F",12
"148",146,144,240,"F",10
"149",165,159,260,"F",6
"150",197,185,280,"F",13
"151",21,22,100,"F",6
"152",39,38,120,"F",6
"153",46,36,140,"F",3
"154",59,56,160,"F",5
"155",73,86,180,"F",14
"156",110,83,200,"F",1
"157",127,128,220,"F",12
"158",150,157,240,"F",16
"159",179,174,260,"F",17
"160",187,179,280,"F",15
"161",26,23,100,"F",4
"162",37,25,120,"F",3
"163",42,65,140,"F",9
"164",70,75,160,"F",12
"165",79,108,180,"F",21
"166",104,98,200,"F",7
"167",113,131,220,"F",10
"168",147,157,240,"F",15
"169",179,167,260,"F",17
"170",204,202,280,"F",11
"171",35,23,100,"F",6
"172",39,35,120,"F",2
"173",41,55,140,"F",8
"174",59,52,160,"F",8
"175",86,81,180,"F",20
"176",95,104,200,"F",17
"177",114,120,220,"F",13
"178",161,126,240,"F",11
"179",187,172,260,"F",10
"180",207,215,280,"F",22
"181",18,21,100,"F",5
"182",36,28,120,"F",3
"183",58,54,140,"F",7
"184",73,70,160,"F",16
"185",90,83,180,"F",13
"186",104,92,200,"F",8
"187",119,134,220,"F",14
"188",146,144,240,"F",10
"189",165,152,260,"F",14
"190",205,169,280,"F",11
"191",23,33,100,"F",6
"192",38,37,120,"F",8
"193",54,48,140,"F",7
"194",61,74,160,"F",13
"195",73,82,180,"F",22
"196",103,112,200,"F",10
"197",121,118,220,"F",14
"198",149,166,240,"F",10
"199",181,182,260,"F",19
"200",217,190,280,"F",15
"201",20,28,100,"F",9
"202",35,33,120,"F",4
"203",43,52,140,"F",3
"204",60,66,160,"F",10
"205",104,80,180,"F",5
"206",112,115,200,"F",10
"207",123,122,220,"F",14
"208",167,137,240,"F",11
"209",188,153,260,"F",13
"210",213,200,280,"F",18
"211",25,19,100,"F",2
"212",28,38,120,"F",6
"213",48,58,140,"F",13
"214",58,82,160,"F",14
"215",90,87,180,"F",13
"216",97,108,200,"F",22
"217",143,112,220,"F",11
"218",173,129,240,"F",22
"219",184,190,260,"F",14
"220",194,210,280,"F",16
"221",31,23,100,"F",5
"222",29,42,120,"F",1
"223",41,65,140,"F",6
"224",73,63,160,"F",14
"225",73,77,180,"F",8
"226",107,104,200,"F",9
"227",114,117,220,"F",5
"228",147,153,240,"F",17
"229",169,156,260,"F",10
"230",197,227,280,"F",15
"231",20,35,100,"F",7
"232",39,35,120,"F",7
"233",43,48,140,"F",9
"234",54,75,160,"F",10
"235",76,73,180,"F",10
"236",103,95,200,"F",7
"237",123,93,220,"F",5
"238",128,132,240,"F",9
"239",149,138,260,"F",12
"240",178,156,280,"F",9
"241",22,26,100,"F",5
"242",35,33,120,"F",4
"243",37,48,140,"F",5
"244",62,77,160,"F",14
"245",64,84,180,"F",10
"246",92,102,200,"F",11
"247",96,138,220,"F",23
"248",131,162,240,"F",15
"249",179,180,260,"F",17
"250",213,200,280,"F",22
"251",18,23,100,"F",3
"252",28,35,120,"F",5
"253",50,52,140,"F",6
"254",58,53,160,"F",9
"255",68,72,180,"F",7
"256",94,97,200,"F",7
"257",132,114,220,"F",11
"258",154,163,240,"F",13
"259",156,158,260,"F",15
"260",211,210,280,"F",22
"261",30,26,100,"F",11
"262",46,36,120,"F",8
"263",50,50,140,"F",4
"264",61,56,160,"F",5
"265",85,77,180,"F",14
"266",90,110,200,"F",19
"267",140,129,220,"F",11
"268",161,151,240,"F",20
"269",168,164,260,"F",13
"270",222,210,280,"F",15
"271",19,27,100,"F",8
"272",31,38,120,"F",4
"273",48,45,140,"F",4
"274",55,72,160,"F",11
"275",77,72,180,"F",8
"276",118,98,200,"F",11
"277",111,117,220,"F",10
"278",145,155,240,"F",6
"279",173,162,260,"F",15
"280",167,186,280,"F",15
"281",29,26,100,"F",4
"282",31,34,120,"F",8
"283",63,45,140,"F",13
"284",70,62,160,"F",5
"285",71,68,180,"F",6
"286",119,101,200,"F",12
"287",133,128,220,"F",15
"288",148,128,240,"F",13
"289",181,205,260,"F",18
"290",183,190,280,"F",14
"291",24,20,100,"F",5
"292",39,33,120,"F",5
"293",47,57,140,"F",8
"294",73,68,160,"F",8
